"code","source_page","view","schematic_x","schematic_y","primary_source_description","learning_note_he","learning_note_en","comparison_code","alternative_he","focused_check","alignment_33","source_conflict_33","review_status","reviewer","review_date","review_notes"
"BL 44","121","back","620","335","In the upper back region, at the same level as the inferior border of the spinous process of the fifth thoracic vertebra (T5), 3 B-cun lateral to the posterior median line. Note: BL44, BL15 and GV11 are located at the same level as the inferior border of the spinous process of the fifth thoracic vertebra (T5).","BL 44 נמצאת 3 B-cun לצד קו האמצע בגובה שמתחת לזיז T5. GV 11 נמצאת בקו האמצע באותו גובה. מתחילים בזיהוי הזיז וממשיכים למרחק הצדדי.","BL 44 is 3 B-cun lateral at the inferior T5 spinous-process level; GV 11 is midline there. Establish the spinous-process reference before the lateral distance.","GV 11","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 45","122","back","620","370","In the upper back region, at the same level as the inferior border of the spinous process of the sixth thoracic vertebra (T6), 3 B-cun lateral to the posterior median line. Note: BL45, BL16 and GV10 are located at the same level as the inferior border of the spinous process of the sixth thoracic vertebra (T6).","T6 מגדירה את השורה המשותפת ל־BL 45 ול־BL 16. BL 45 מרוחקת 3 B-cun מקו האמצע ו־BL 16 רק 1.5. המראה הצדדי יותר של הסימון אינו מצביע על חוליה אחרת.","T6 defines the shared row for BL 45 and BL 16. BL 45 is 3 B-cun lateral and BL 16 only 1.5. A more lateral marker does not indicate a different vertebra.","BL 16","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 46","122","back","620","405","In the upper back region, at the same level as the inferior border of the spinous process of the seventh thoracic vertebra (T7), 3 B-cun lateral to the posterior median line. Note: BL 46, BL17 and GV9 are located at the same level as the inferior border of the spinous process of the seventh thoracic vertebra (T7).","BL 46 משתמשת בגבול התחתון של זיז T7 ובהיסט 3 B-cun. BL 47 נמצאת כבר בגובה T9. גם בעמודה החיצונית רצף המספרים מדלג על גובה T8.","BL 46 uses the inferior T7 spinous-process level at 3 B-cun lateral; BL 47 moves to T9. The outer-column numbering also skips a T8 counterpart.","BL 47","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 47","123","back","620","475","In the upper back region, at the same level as the inferior border of the spinous process of the ninth thoracic vertebra (T9), 3 B-cun lateral to the posterior median line. Note: BL47, BL18 and GV8 are located at the same level as the inferior border of the spinous process of the ninth thoracic vertebra (T9).","BL 47 נמצאת 3 B-cun הצדה בגובה שמתחת לזיז T9; GV 8 נמצאת בקו האמצע באותו מפלס. שני הקודים משמשים להשוואת קו אמצע ועמודה חיצונית.","BL 47 lies 3 B-cun lateral at the inferior T9 spinous-process level; GV 8 is midline at that level. The pair contrasts a midline point with the outer column.","GV 8","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 48","123","back","620","510","In the upper back region, at the same level as the inferior border of the spinous pro- cess of the tenth thoracic vertebra (T10), 3 B-cun lateral to the posterior median line. Note: BL48, BL19 and GV7 are located at the same level as the inferior border of the spinous process of the tenth thoracic vertebra (T10).","הגבול התחתון של זיז T10 הוא העוגן האנכי. BL 48 מרוחקת 3 B-cun מקו האמצע, פי שניים מן ההיסט המתואר ב־BL 19. הסכמה שומרת יחס לימודי, לא סנטימטרים.","The inferior T10 spinous-process border sets the level. BL 48’s 3 B-cun offset is twice BL 19’s stated offset. The schematic expresses a teaching relationship rather than centimetres.","BL 19","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 49","124","back","620","545","In the upper back region, at the same level as the inferior border of the spinous process of the 11th thoracic vertebra (T11), 3 B-cun lateral to the posterior median line. Note: BL49, BL20 and GV6 are located at the same level as the inferior border of the spinous process of the 11th thoracic vertebra (T11).","BL 49 נמצאת בגובה הגבול התחתון של זיז T11, 3 B-cun לצד קו האמצע. GV 6 בקו האמצע באותו גובה. צלעות סמוכות באיור אינן משנות את הייחוס לזיז החוליה.","BL 49 is 3 B-cun lateral at the inferior T11 spinous-process level; GV 6 is midline there. Nearby rib drawings do not change the stated spinous-process reference.","GV 6","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 50","124","back","620","580","In the upper back region, at the same level as the inferior border of the spinous process of the 12th thoracic vertebra (T12), 3 B-cun lateral to the posterior median line. Note: BL50 and BL21 are located at the same level as the inferior border of the spinous process of the 12th thoracic vertebra (T12).","BL 50 מסיימת כאן את סדרת החזה ב־T12, בהיסט 3 B-cun. BL 51 ממשיכה ב־L1 שבמותן. שינוי האזור האנטומי מתרחש אף שהעמודה הצדדית נשארת זהה.","BL 50 reaches thoracic T12 with a 3 B-cun offset. BL 51 continues at lumbar L1. The anatomical region changes while the lateral column remains the same.","BL 51","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 51","125","back","620","620","In the lumbar region, at the same level as the inferior border of the spinous process of the first lumbar vertebra (L1), 3 B-cun lateral to the posterior median line. Note: BL51, BL22 and GV5 are located at the same level as the inferior border of the spinous process of the first lumbar vertebra (L1).","BL 51 נמצאת 3 B-cun מקו האמצע בגובה הגבול התחתון של זיז L1. GV 5 בקו האמצע באותו מפלס. ה־L מסמנת חוליה מותנית והמספר 1 את הראשונה בסדרה זו.","BL 51 lies 3 B-cun lateral at the inferior L1 spinous-process level; GV 5 is midline there. L identifies the lumbar series and 1 its first vertebra.","GV 5","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 52","125","back","620","660","In the lumbar region, at the same level as the inferior border of the spinous process of the second lumbar vertebra (L2), 3 B-cun lateral to the posterior median line. Note: BL52, BL23 and GV4 are located at the same level as the inferior border of the spinous process of the second lumbar vertebra (L2).","BL 52 ו־BL 23 חולקות את הגבול התחתון של זיז L2 כעוגן לגובה. ההיסט של BL 52 הוא 3 B-cun ושל BL 23 הוא 1.5. שורת L2 נשארת קבועה במהלך ההשוואה.","BL 52 and BL 23 share the inferior L2 spinous-process level. Their offsets are 3 and 1.5 B-cun. Keep the L2 row fixed while comparing their lateral positions.","BL 23","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 53","126","back","620","850","In the buttock region, at the same level as the second posterior sacral foramen, 3 B-cun lateral to the median sacral crest. Note: BL53, BL28 and BL32 are located at the same level as the second posterior sacral foramen.","הנקב האחורי השני בעצה קובע את הגובה. BL 53 נמצאת 3 B-cun מרכס העצה האמצעי, ו־BL 28 במרחק 1.5. אף אחת מהן אינה הרשומה המתארת את הנקב עצמו.","The second posterior sacral foramen sets the level. BL 53 is 3 B-cun from the median sacral crest and BL 28 is 1.5 B-cun away. Neither record denotes the foramen itself.","BL 28","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 54","126","back","620","910","In the buttock region, at the same level as the fourth posterior sacral foramen, 3 B-cun lateral to the median sacral crest. Note: 3 B-cun lateral to the sacral hiatus, at the same level as BL 30.","BL 54 בגובה הנקב האחורי הרביעי, 3 B-cun מרכס העצה האמצעי. BL 34 בנקב עצמו. פתח העצה הוא ציון דרך נפרד המוזכר בהקשר לגובה, ולא שם חלופי לנקב.","BL 54 is at the fourth posterior sacral-foramen level, 3 B-cun from the median crest. BL 34 uses the foramen. The hiatus is a separate level reference, not an alternative foramen name.","BL 34","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 55","127","legBack","500","520","On the posterior aspect of the leg, between the lateral head and medial head of the gastrocnemius muscle, 2 B-cun distal to the popliteal crease. Note: 2 B-cun distal to BL40, on the line connecting BL40 with BL57.","קפל בית הברך הוא מוצא המדידה: BL 55 נמצאת 2 B-cun מתחתיו בין שני ראשי שריר התאומים. BL 56 נמצאת 5 B-cun מתחת לקפל. שתי הרשומות משתמשות באותו קצה מדידה.","The popliteal crease starts both measures. BL 55 is 2 B-cun below it between the gastrocnemius heads; BL 56 is 5 B-cun below. Their distances share the same starting reference.","BL 56","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 56","127","legBack","500","595","On the posterior aspect of the leg, between the two muscle bellies of the gastrocne- mius muscle, 5 B-cun distal to the popliteal crease. Note: Midway between BL55 and BL57.","שתיהן בחלק האחורי של השוק. BL 56 קשורה למרווח בין שני חלקי שריר התאומים; BL 57 לשקע שמתחת למפגש חלקי השריר. היחס לשריר מוסיף מידע מעבר לגובה בלבד.","Both lie on the posterior lower leg. BL 56 uses the interval between the two gastrocnemius bellies; BL 57 the depression below its converging portions. Muscle relationship adds to height alone.","BL 57","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 57","128","legBack","500","685","On the posterior aspect of the leg, at the connecting point of the calcaneal tendon with the two muscle bellies of the gastrocnemius muscle. Note: With the leg stretched (plantar flexion) or the heel up, BL57 is located at the sharp angled depression inferior to the muscle belly of the gastrocnemius muscle. the two heads of the gastrocnemius muscle are separated to make a lambda shape (Λ).","שתיהן בחלק האחורי של השוק. BL 56 קשורה למרווח בין שני חלקי שריר התאומים; BL 57 לשקע שמתחת למפגש חלקי השריר. היחס לשריר מוסיף מידע מעבר לגובה בלבד.","Both lie on the posterior lower leg. BL 56 uses the interval between the two gastrocnemius bellies; BL 57 the depression below its converging portions. Muscle relationship adds to height alone.","BL 56","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 58","128","legBack","610","711","On the posterolateral aspect of the leg, between the inferior border of the lateral head of the gastrocnemius muscle and the calcaneal tendon, at the same level as 7 B-cun proximal to BL60. Note: BL58 is located 1 B-cun lateral and distal to BL57, proximal to BL60.","התיאור משלב גובה ביחס ל־BL 60 עם מיקום בין הראש הצדדי של שריר התאומים לגיד אכילס. המספר 7 B-cun לבדו אינו מתאר את הצד ואת היחס לשריר.","The description combines a level relative to BL 60 with the interval between the lateral gastrocnemius head and the calcaneal tendon. The 7 B-cun measure alone does not specify those relationships.","BL 57","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 59","129","legBack","610","819","On the posterolateral aspect of the leg, between the fibula and the calcaneal tendon, at the same level as 3 B-cun proximal to BL60.","BL 60 היא עוגן הגובה: BL 59 נמצאת 3 B-cun פרוקסימלית לה, בין השוקית לגיד אכילס. זהו האזור האחורי־חיצוני של השוק, ולא חזית עצם השוקה.","BL 59 is 3 B-cun proximal to BL 60, between the fibula and Achilles tendon. The description concerns the posterolateral leg rather than the front of the tibia.","BL 60","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 60","129","footLateral","240","440","On the posterolateral aspect of the ankle, in the depression between the prominence of the lateral malleolus and the calcaneal tendon.","שתיהן מתוארות בין פטישון לגיד אכילס. BL 60 בצד החיצוני של הקרסול, ו־KI 3 בצדו הפנימי. מעבר בין מבטי כף הרגל חיוני להשוואה הזאת.","Both lie between a malleolus and the Achilles tendon. BL 60 is lateral and KI 3 medial. Switch foot views to understand this comparison.","KI 3","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 61","130","footLateral","235","660","On the lateral aspect of the foot, distal to BL60, lateral to the calcaneus, at the border between the red and white flesh.","העוגן הגרמי הוא עצם העקב בצד החיצוני של כף הרגל. גבול שינוי גוון העור המוזכר במקור הוא ציון דרך נפרד מגבול העצם.","The bony reference is the lateral calcaneus. The skin-colour boundary in the source is a separate surface landmark, not the edge of the bone.","BL 62","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 62","130","footLateral","315","525","On the lateral aspect of the foot, directly inferior to the prominence of the lateral malleolus, in the depression between the inferior border of the lateral malleolus and the calcaneus. Note: BL62 is located in the depression distal to the inferior border of the lateral malleolus. the corresponding medial acupuncture point to BL 62 is KI6.","BL 62 מתוארת מתחת לפטישון החיצוני, בין גבולו התחתון לעצם העקב. KI 6 היא ההשוואה שמתחת לפטישון הפנימי. לפני השוואת הסימונים מחליפים בין הצד החיצוני לפנימי של הקרסול.","BL 62 is below the lateral malleolus, between its inferior border and calcaneus. KI 6 is the medial-malleolar comparison. Establish lateral versus medial ankle before comparing the markers.","KI 6","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 63","131","footLateral","455","615","On the dorsum of the foot, distal to the anterior border of the lateral malleolus, posterior to the tuberosity of the fifth metatarsal bone, in the depression inferior to the cuboid bone.","BL 63 מתוארת מתחת לעצם הקובייה ומאחורי גבשושית המסרק החמישי. BL 64 נמצאת דיסטלית לגבשושית. הגבשושית מפרידה בין שני התיאורים לאורך הצד החיצוני של כף הרגל.","BL 63 lies inferior to the cuboid and posterior to the fifth-metatarsal tuberosity. BL 64 is distal to the tuberosity. That prominence separates the descriptions along the lateral foot.","BL 64","","supplied dataset","הסימון הוזז מתחת לעצם הקובייה, אחורית לבסיס המסרק החמישי.","","ממתין לסקירה מקצועית","","",""
"BL 64","131","footLateral","575","660","On the lateral aspect of the foot, distal to the tuberosity of the fifth metatarsal bone, at the border between the red and white flesh. Note: The tuberosity of the fifth metatarsal bone is located approximately midway be- tween the heel and the fifth metatarsophalangeal joint.","BL 64 משתמשת בגבשושית שבבסיס המסרק החמישי, ו־BL 65 באזור שלפני המפרק עם הזרת. הבסיס קרוב לקרסול; ראש המסרק והמפרק קרובים לאצבע.","BL 64 uses the fifth-metatarsal-base tuberosity, while BL 65 concerns the region proximal to the little-toe joint. Base is ankle-facing; head and metatarsophalangeal joint are toe-facing.","BL 65","","supplied dataset","הסימון הופרד מבסיס המסרק החמישי לכיוון דיסטלי.","","ממתין לסקירה מקצועית","","",""
"BL 65","132","footLateral","710","695","On the lateral aspect of the foot, in the depression proximal to the fifth metatarsophalangeal joint, at the border between the red and white flesh.","BL 65 פרוקסימלית למפרק המסרק־גליל החמישי ו־BL 66 דיסטלית לו. זהו אותו עיקרון של הבחנה משני עברי מפרק, כאן בצד החיצוני של כף הרגל.","BL 65 is proximal and BL 66 distal to the fifth metatarsophalangeal joint. The comparison spans a joint on the lateral foot.","BL 66","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 66","132","footLateral","790","650","On the little toe, in the depression distal and lateral to the fifth metatarsophalangeal joint, at the border between the red and white flesh.","BL 65 פרוקסימלית למפרק המסרק־גליל החמישי ו־BL 66 דיסטלית לו. זהו אותו עיקרון של הבחנה משני עברי מפרק, כאן בצד החיצוני של כף הרגל.","BL 65 is proximal and BL 66 distal to the fifth metatarsophalangeal joint. The comparison spans a joint on the lateral foot.","BL 65","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"BL 67","133","footTop","737","332","On the little toe, lateral to the distal pha- lanx, 0.1 f-cun proximal to the lateral corner of the toenail; at the intersection of the vertical line of the lateral side of the nail and the horizontal line of the base of the toenail.","BL 67 קשורה לפינה החיצונית של ציפורן הזרת בכף הרגל, עם היסט פרוקסימלי של 0.1 F-cun. GB 44 קשורה לאצבע הרביעית. זיהוי האצבע קודם לזיהוי הפינה.","BL 67 uses the lateral little-toenail corner with a 0.1 F-cun proximal offset. GB 44 uses the fourth toe. Identify the digit before selecting the nail corner.","GB 44","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 1","136","footSole","500","400","On the sole of the foot, in the deepest depression of the sole when the toes are flexed. Note: When the toes are flexed, KI1 is located approximately in the depression at the junction of the anterior one third and the posterior two thirds of the line connecting the heel with the web margin between the bases of the second and third toes.","KI 1 שייכת לסוליה, בשקע המודגש בכיפוף האצבעות; LR 3 בגב כף הרגל. חלוקת הקו בין העקב לבסיסי האצבעות היא עזר ייחוס, ואינה סיבה להעביר את הסימון לצד הגבי.","KI 1 is plantar, in the depression emphasized by toe flexion; LR 3 is dorsal. The heel-to-toe-base line is a reference and does not transfer the point to the foot’s dorsum.","LR 3","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 2","136","footMedial","475","625","On the medial aspect of the foot, inferior to the tuberosity of the navicular bone, at the border between the red and white flesh.","התיאור מציב את הנקודה מתחת לגבשושית עצם הסירה. SP 5 משתמשת באזור קדמי ותחתון לפטישון הפנימי; אין להחליף בין שני ציוני הדרך הגרמיים.","The location is inferior to the navicular tuberosity. SP 5 uses a depression anterior and inferior to the medial malleolus; the bony references differ.","SP 5","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 3","137","footMedial","245","445","On the posteromedial aspect of the ankle, in the depression between the prominence of the medial malleolus and the calcaneal tendon.","KI 3 משתמשת במרווח שמאחורי הפטישון הפנימי, לכיוון גיד אכילס. KI 6 מתוארת מתחת לפטישון. מאחור ומתחת הם שני יחסים שונים לאותו ציון דרך.","KI 3 uses the space behind the medial malleolus toward the Achilles tendon. KI 6 is below the malleolus. Posterior and inferior describe different relationships.","KI 6","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 4","137","footMedial","235","525","On the medial aspect of the foot, posteroinferior to the medial malleolus, superior to the calcaneus, in the depression anterior to the medial attachment of the calcaneal tendon.","KI 4 נמצאת מאחור ומתחת לפטישון הפנימי, מעל עצם העקב ולפני אזור האחז של גיד אכילס. KI 3 משתמשת במרווח בגובה הפטישון. יחסי הגובה והאחז מבדילים בין השתיים.","KI 4 is posteroinferior to the medial malleolus, above calcaneus and anterior to the Achilles attachment region. KI 3 uses the interval at malleolar level. Level and attachment relationships distinguish them.","KI 3","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 5","138","footMedial","245","570","On the medial aspect of the foot, 1 B-cun inferior to KI3, in the depression anterior to the calcaneal tuberosity.","KI 5 מתוארת 1 B-cun מתחת ל־KI 3, לפני גבשושית העקב. KI 6 מתוארת מתחת לפטישון הפנימי. המילה ״מתחת״ מתייחסת בכל כרטיס לעוגן אחר.","KI 5 is 1 B-cun below KI 3, anterior to the calcaneal tuberosity. KI 6 is below the medial malleolus. “Below” starts from a different reference in each record.","KI 6","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 6","138","footMedial","320","525","On the medial aspect of the foot, 1 B-cun inferior to the prominence of the medial malleolus, in the depression inferior to the medial malleolus. Note: The corresponding lateral point to KI6 is BL62.","KI 3 משתמשת במרווח שמאחורי הפטישון הפנימי, לכיוון גיד אכילס. KI 6 מתוארת מתחת לפטישון. מאחור ומתחת הם שני יחסים שונים לאותו ציון דרך.","KI 3 uses the space behind the medial malleolus toward the Achilles tendon. KI 6 is below the malleolus. Posterior and inferior describe different relationships.","KI 3","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 7","139","legMedial","440","838","On the posteromedial aspect of the leg, anterior to the calcaneal tendon, 2 B-cun superior to the prominence of the medial malleolus. Note: At the same level and posterior to KI8.","שתיהן 2 B-cun מעל הפטישון הפנימי. KI 7 סמוכה לגיד אכילס, ו־KI 8 קדמית יותר וביחס לשוקה. גובה משותף אינו מספיק כדי להבחין ביניהן.","Both are 2 B-cun above the medial malleolus. KI 7 is near the Achilles tendon; KI 8 is more anterior in relation to the tibia. Shared height is insufficient.","KI 8","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 8","139","legMedial","510","838","On the medial aspect of the leg, in the depression posterior to the medial border of the tibial bone, 2 B-cun superior to the prominence of the medial malleolus. Note: 0.5 B-cun anterior to KI7.","שתיהן 2 B-cun מעל הפטישון הפנימי. KI 7 סמוכה לגיד אכילס, ו־KI 8 קדמית יותר וביחס לשוקה. גובה משותף אינו מספיק כדי להבחין ביניהן.","Both are 2 B-cun above the medial malleolus. KI 7 is near the Achilles tendon; KI 8 is more anterior in relation to the tibia. Shared height is insufficient.","KI 7","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 9","140","legMedial","425","744","On the posteromedial aspect of the leg, between the soleus muscle and the calcaneal tendon, 5 B-cun superior to the prominence of the medial malleolus. Note 1: With the knee flexed and the leg stretched (plantar flexion) against resistance, the soleus muscle can be seen more clearly along the medial border of the tibia bone. Note 2: At the same level as LR5, on the line connecting KI3 with KI10.","KI 9 ו־LR 5 נמצאות 5 B-cun מעל הפטישון הפנימי. KI 9 קשורה למרווח בין הסוליה לגיד אכילס מאחור, ו־LR 5 לגבול הפנימי של השוקה. אותו גובה אינו אותו מרווח.","KI 9 and LR 5 are 5 B-cun above the medial malleolus. KI 9 uses the soleus–Achilles interval posteriorly; LR 5 uses the medial tibial border. Shared height does not mean shared interval.","LR 5","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 10","140","legMedial","440","450","On the posteromedial aspect of the knee, just lateral to the semitendinosus tendon, in the popliteal crease.","קפל בית הברך וגיד השריר החצי־גידי מופיעים יחד. כאן היחס לגיד הוא צדדי, ולא פנימי; יש לקרוא את כיוון היחס לצד שם הגיד.","The popliteal crease and semitendinosus tendon are both references. The stated relationship is lateral to the tendon; read direction along with the tendon name.","LR 8","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 11","141","torsoFront","484","895","On the lower abdomen, 5 B-cun inferior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.","KI 11 נמצאת 5 B-cun מתחת לטבור וחצי B-cun לצד קו האמצע. ST 30 נמצאת באותו גובה ייחוס אך בהיסט 2 B-cun. ב־KI המרחק הצדדי קטן ונשאר נפרד ממידת הגובה.","KI 11 is 5 B-cun below the umbilicus and half a B-cun lateral. ST 30 shares that reference level at a 2 B-cun offset. Keep KI’s smaller lateral distance separate from its vertical measure.","ST 30","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 12","141","torsoFront","484","860","On the lower abdomen, 4 B-cun inferior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.","גובה KI 12 הוא 4 B-cun מתחת לטבור, כמו CV 3. KI 12 נמצאת חצי B-cun לצד קו האמצע. אין לפרש את חצי היחידה כתוספת לגובה שמתחת לטבור.","KI 12 shares CV 3’s level, 4 B-cun below the umbilicus, but lies half a B-cun lateral. The half-unit is not added to the inferior umbilical distance.","CV 3","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 13","142","torsoFront","484","825","On the lower abdomen, 3 B-cun inferior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.","KI 13 ו־CV 4 נמצאות 3 B-cun מתחת לטבור. KI 13 חצי B-cun הצדה, ו־CV 4 בקו האמצע. זיהוי קו האמצע מאפשר להבחין בין הסימונים הקרובים בסכמה.","KI 13 and CV 4 are 3 B-cun below the umbilicus. KI 13 is half a B-cun lateral; CV 4 is midline. Establish the midline to distinguish the nearby schematic markers.","CV 4","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 14","142","torsoFront","484","790","On the lower abdomen, 2 B-cun inferior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.","KI 14 ו־ST 27 משתמשות בגובה 2 B-cun מתחת לטבור. המרחק מקו האמצע הוא חצי B-cun ב־KI 14 ו־2 B-cun ב־ST 27. כאן ההבדל הוא בעמודה הצדדית בלבד.","KI 14 and ST 27 share a level 2 B-cun below the umbilicus. Their offsets are 0.5 and 2 B-cun. Only the lateral column differs in this comparison.","ST 27","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 15","143","torsoFront","484","755","On the lower abdomen, 1 B-cun inferior to umbilicus, 0.5 B-cun lateral to the anterior median line.","KI 15 נמצאת 1 B-cun מתחת לטבור וחצי B-cun לצד קו האמצע. CV 7 נמצאת בקו האמצע באותה שורה. לפני פירוש הסכמה מבדילים בין מתחת לטבור לבין לצד קו האמצע.","KI 15 is 1 B-cun below the umbilicus and half a B-cun lateral. CV 7 is midline in the same row. Distinguish the inferior umbilical distance from the lateral midline distance.","CV 7","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 16","143","torsoFront","484","720","On the upper abdomen, 0.5 B-cun lateral to the centre of the umbilicus.","הטבור עצמו מגדיר את גובה KI 16. ההיסט היחיד בתיאור הוא חצי B-cun הצדה, בעוד CV 8 במרכז הטבור. אין כאן מידה נוספת מעליו או מתחתיו.","The umbilicus sets KI 16’s level. The only stated offset is half a B-cun laterally; CV 8 is at the umbilical centre. No additional superior or inferior measure is specified.","CV 8","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 17","144","torsoFront","484","650","On the upper abdomen, 2 B-cun superior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.","KI 17 נמצאת 2 B-cun מעל הטבור, וחצי B-cun מקו האמצע. KI 16 נמצאת בגובה הטבור. במספור הזה המעבר הוא של שתי יחידות גובה, ולא יחידה אחת.","KI 17 is 2 B-cun above the umbilicus and half a B-cun lateral. KI 16 is at umbilical level. This consecutive numbering step spans two vertical units rather than one.","KI 16","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 18","144","torsoFront","484","615","On the upper abdomen, 3 B-cun superior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.","הגובה של KI 18 הוא 3 B-cun מעל הטבור, כמו CV 11. ההיסט הוא חצי B-cun לצד קו האמצע. CV 11 עוזרת לקרוא את השורה מבלי להחליף את העמודה של KI.","KI 18 shares CV 11’s level, 3 B-cun above the umbilicus, with a half-B-cun lateral offset. CV 11 identifies the row without replacing the KI column.","CV 11","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 19","145","torsoFront","484","580","On the upper abdomen, 4 B-cun superior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.","KI 19 ו־ST 21 נמצאות 4 B-cun מעל הטבור. KI 19 בהיסט חצי B-cun ו־ST 21 בהיסט 2 B-cun. מתאימים את הגובה תחילה, ורק אז משווים את המרחק מן האמצע.","KI 19 and ST 21 are 4 B-cun above the umbilicus. KI 19 uses a 0.5 B-cun offset and ST 21 uses 2. Match the level before comparing the distance from the midline.","ST 21","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 20","145","torsoFront","484","545","On the upper abdomen, 5 B-cun superior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.","KI 20 נמצאת 5 B-cun מעל הטבור, חצי B-cun לצד קו האמצע. CV 13 מספקת השוואה באמצע באותו גובה. שם האיבר במרידיאן אינו משנה את העוגן האנטומי של התיאור.","KI 20 lies 5 B-cun above the umbilicus and half a B-cun lateral. CV 13 is its midline comparison. The channel’s organ name does not change the anatomical locating reference.","CV 13","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 21","146","torsoFront","484","510","On the upper abdomen, 6 B-cun superior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.","KI 21 משתמשת במדידה מן הטבור: 6 B-cun מעליו וחצי B-cun הצדה. KI 22 עוברת למרווח בין־צלעי ולהיסט 2 B-cun. המעבר בין הבטן לחזה משנה גם את העוגן וגם את הרוחב.","KI 21 uses umbilical measurement, 6 B-cun above and half a B-cun lateral. KI 22 changes to an intercostal space and a 2 B-cun offset. Both reference type and width change.","KI 22","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 22","146","torsoFront","436","380","In the anterior thoracic region, in the fifth intercostal space, 2 B-cun lateral to the anterior median line.","המרווח הבין־צלעי החמישי משותף לשתיהן. KI 22 בהיסט 2 B-cun ו־ST 18 בהיסט 4 B-cun. בעמודת החזה של KI משתמשים ב־2 B-cun, ולא בחצי היחידה של הבטן.","Both use the fifth intercostal space. KI 22 is 2 B-cun lateral and ST 18 is 4. The thoracic KI column uses 2 B-cun, not the abdominal half-unit offset.","ST 18","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"KI 23","147","torsoFront","436","330","In the anterior thoracic region, in the fourth intercostal space, 2 B-cun lateral to the anterior median line.","KI 23 ו־PC 1 נמצאות במרווח הבין־צלעי הרביעי. ההיסטים הם 2 ו־5 B-cun בהתאמה. זו השוואה של שני מסלולים באותו מרווח, עם מיקום צדדי שונה.","KI 23 and PC 1 use the fourth intercostal space at offsets of 2 and 5 B-cun respectively. The comparison crosses channels while holding the intercostal space constant.","PC 1","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
